Position(m)	Deflection(m)
45.535	-0.0188412
45.54	-0.0183781
45.545	-0.0193105
45.55	-0.0221038
45.555	-0.0248977
45.56	-0.0258317
45.565	-0.0253708
45.57	-0.0239798
45.575	-0.0221235
45.58	-0.020267
45.585	-0.018875
45.59	-0.0184126
45.595	-0.0193445
45.6	-0.0221357
45.605	-0.0249275
45.61	-0.0258611
45.615	-0.0254009
45.62	-0.0240114
45.625	-0.0221571
45.63	-0.0203025
45.635	-0.018912
45.64	-0.0184503
45.645	-0.0193817
45.65	-0.0221709
45.655	-0.0249606
45.66	-0.0258937
45.665	-0.0254342
45.67	-0.0240463
45.675	-0.0221939
45.68	-0.0203413
45.685	-0.0189524
45.69	-0.0184914
45.695	-0.0194224
45.7	-0.0222094
45.705	-0.0249963
45.71	-0.025927
45.715	-0.0254653
45.72	-0.0240753
45.725	-0.022221
45.73	-0.0203664
45.735	-0.0189755
45.74	-0.0185123
45.745	-0.0194408
45.75	-0.022225
45.755	-0.0250093
45.76	-0.025938
45.765	-0.0254749
45.77	-0.0240839
45.775	-0.0222288
45.78	-0.0203734
45.785	-0.0189815
45.79	-0.0185169
45.795	-0.0194435
45.8	-0.022225
45.805	-0.0250071
45.81	-0.0259351
45.815	-0.0254724
45.82	-0.0240825
45.825	-0.0222288
45.83	-0.0203749
45.835	-0.018984
45.84	-0.0185198
45.845	-0.0194457
45.85	-0.022225
45.855	-0.0250049
45.86	-0.0259321
45.865	-0.0254698
45.87	-0.024081
45.875	-0.0222288
45.88	-0.0203763
45.885	-0.0189866
45.89	-0.0185228
45.895	-0.0194479
45.9	-0.022225
45.905	-0.0250027
45.91	-0.0259292
45.915	-0.0254673
45.92	-0.0240796
45.925	-0.0222288
45.93	-0.0203778
45.935	-0.0189892
45.94	-0.0185257
45.945	-0.0194501
45.95	-0.022225
45.955	-0.0250005
45.96	-0.0259262
45.965	-0.0254647
45.97	-0.0240781
45.975	-0.0222289
45.98	-0.0203793
45.985	-0.0189918
45.99	-0.0185287
45.995	-0.0194523
46	-0.022225
46.005	-0.0249983
46.01	-0.0259233
46.015	-0.0254621
46.02	-0.0240766
46.025	-0.0222289
46.03	-0.0203808
46.035	-0.0189944
46.04	-0.0185317
46.045	-0.0194545
46.05	-0.022225
46.055	-0.024996
46.06	-0.0259203
46.065	-0.0254595
46.07	-0.0240751
46.075	-0.0222289
46.08	-0.0203823
46.085	-0.018997
46.09	-0.0185346
46.095	-0.0194568
46.1	-0.022225
46.105	-0.0249938
46.11	-0.0259173
46.115	-0.0254569
46.12	-0.0240737
46.125	-0.0222289
46.13	-0.0203838
46.135	-0.0189996
46.14	-0.0185376
46.145	-0.019459
46.15	-0.022225
46.155	-0.0249916
46.16	-0.0259144
46.165	-0.0254543
46.17	-0.0240722
46.175	-0.0222289
46.18	-0.0203853
46.185	-0.0190023
46.19	-0.0185406
46.195	-0.0194613
46.2	-0.022225
46.205	-0.0249893
46.21	-0.0259114
46.215	-0.0254517
46.22	-0.0240707
46.225	-0.0222289
46.23	-0.0203868
46.235	-0.0190049
46.24	-0.0185437
46.245	-0.0194635
46.25	-0.022225
46.255	-0.024987
46.26	-0.0259084
46.265	-0.025449
46.27	-0.0240692
46.275	-0.0222289
46.28	-0.0203884
46.285	-0.0190076
46.29	-0.0185467
46.295	-0.0194658
46.3	-0.022225
46.305	-0.0249848
46.31	-0.0259053
46.315	-0.0254464
46.32	-0.0240677
46.325	-0.022229
46.33	-0.0203899
46.335	-0.0190102
46.34	-0.0185497
46.345	-0.0194681
46.35	-0.022225
46.355	-0.0249825
46.36	-0.0259023
46.365	-0.0254438
46.37	-0.0240662
46.375	-0.022229
46.38	-0.0203914
46.385	-0.0190129
46.39	-0.0185528
46.395	-0.0194704
46.4	-0.022225
46.405	-0.0249802
46.41	-0.0258993
46.415	-0.0254411
46.42	-0.0240647
46.425	-0.022229
46.43	-0.020393
46.435	-0.0190156
46.44	-0.0185559
46.445	-0.0194727
46.45	-0.022225
46.455	-0.0249779
46.46	-0.0258962
46.465	-0.0254384
46.47	-0.0240632
46.475	-0.022229
46.48	-0.0203945
46.485	-0.0190183
46.49	-0.0185589
46.495	-0.019475
46.5	-0.022225
46.505	-0.0249756
46.51	-0.0258931
46.515	-0.0254357
46.52	-0.0240616
46.525	-0.022229
46.53	-0.0203961
46.535	-0.0190211
46.54	-0.0185621
46.545	-0.0194773
46.55	-0.022225
46.555	-0.0249733
46.56	-0.02589
46.565	-0.025433
46.57	-0.0240601
46.575	-0.0222291
46.58	-0.0203977
46.585	-0.0190238
46.59	-0.0185652
46.595	-0.0194797
46.6	-0.022225
46.605	-0.0249709
46.61	-0.0258869
46.615	-0.0254303
46.62	-0.0240586
46.625	-0.0222291
46.63	-0.0203993
46.635	-0.0190266
46.64	-0.0185683
46.645	-0.019482
46.65	-0.022225
46.655	-0.0249686
46.66	-0.0258838
46.665	-0.0254276
46.67	-0.024057
46.675	-0.0222291
46.68	-0.0204009
46.685	-0.0190294
46.69	-0.0185715
46.695	-0.0194844
46.7	-0.022225
46.705	-0.0249662
46.71	-0.0258806
46.715	-0.0254248
46.72	-0.0240555
46.725	-0.0222292
46.73	-0.0204025
46.735	-0.0190322
46.74	-0.0185747
46.745	-0.0194868
46.75	-0.022225
46.755	-0.0249638
46.76	-0.0258774
46.765	-0.025422
46.77	-0.0240539
46.775	-0.0222292
46.78	-0.0204042
46.785	-0.019035
46.79	-0.018578
46.795	-0.0194892
46.8	-0.022225
46.805	-0.0249614
46.81	-0.0258742
46.815	-0.0254192
46.82	-0.0240523
46.825	-0.0222293
46.83	-0.0204059
46.835	-0.0190379
46.84	-0.0185813
46.845	-0.0194917
46.85	-0.022225
46.855	-0.0249589
46.86	-0.0258709
46.865	-0.0254164
46.87	-0.0240507
46.875	-0.0222293
46.88	-0.0204075
46.885	-0.0190408
46.89	-0.0185846
46.895	-0.0194942
46.9	-0.022225
46.905	-0.0249565
46.91	-0.0258676
46.915	-0.0254135
46.92	-0.0240491
46.925	-0.0222294
46.93	-0.0204093
46.935	-0.0190438
46.94	-0.0185879
46.945	-0.0194967
46.95	-0.022225
46.955	-0.024954
46.96	-0.0258643
46.965	-0.0254106
46.97	-0.0240475
46.975	-0.0222294
46.98	-0.020411
46.985	-0.0190468
46.99	-0.0185913
46.995	-0.0194992
47	-0.022225
47.005	-0.0249514
47.01	-0.0258609
47.015	-0.0254077
47.02	-0.0240458
47.025	-0.0222295
47.03	-0.0204128
47.035	-0.0190498
47.04	-0.0185948
47.045	-0.0195018
47.05	-0.022225
47.055	-0.0249488
47.06	-0.0258575
47.065	-0.0254047
47.07	-0.0240442
47.075	-0.0222295
47.08	-0.0204146
47.085	-0.0190529
47.09	-0.0185983
47.095	-0.0195044
47.1	-0.022225
47.105	-0.0249462
47.11	-0.025854
47.115	-0.0254017
47.12	-0.0240425
47.125	-0.0222296
47.13	-0.0204164
47.135	-0.019056
47.14	-0.0186019
47.145	-0.0195071
47.15	-0.022225
47.155	-0.0249436
47.16	-0.0258505
47.165	-0.0253986
47.17	-0.0240408
47.175	-0.0222297
47.18	-0.0204182
47.185	-0.0190592
47.19	-0.0186055
47.195	-0.0195098
47.2	-0.022225
47.205	-0.0249409
47.21	-0.0258469
47.215	-0.0253955
47.22	-0.024039
47.225	-0.0222298
47.23	-0.0204201
47.235	-0.0190625
47.24	-0.0186092
47.245	-0.0195125
47.25	-0.022225
47.255	-0.0249381
47.26	-0.0258433
47.265	-0.0253924
47.27	-0.0240373
47.275	-0.0222299
47.28	-0.0204221
47.285	-0.0190658
47.29	-0.0186129
47.295	-0.0195154
47.3	-0.022225
47.305	-0.0249354
47.31	-0.0258396
47.315	-0.0253892
47.32	-0.0240355
47.325	-0.02223
47.33	-0.0204241
47.335	-0.0190692
47.34	-0.0186168
47.345	-0.0195182
47.35	-0.022225
47.355	-0.0252679
47.36	-0.0270816
47.365	-0.0279732
47.37	-0.02825
47.375	-0.0282192
47.38	-0.028188
47.385	-0.0284636
47.39	-0.0293532
47.395	-0.0311641
47.4	-0.0342033
47.405	-0.0369137
47.41	-0.0378318
47.415	-0.0374055
47.42	-0.0360825
47.425	-0.0343107
47.43	-0.032538
47.435	-0.0312122
47.44	-0.0307812
47.445	-0.0316927
47.45	-0.0343947
47.455	-0.0370984
47.46	-0.0380144
47.465	-0.0375893
47.47	-0.0362699
47.475	-0.0345028
47.48	-0.0327347
47.485	-0.0314124
47.49	-0.0309826
47.495	-0.0318919
47.5	-0.034587
47.505	-0.0372838
47.51	-0.0381975
47.515	-0.0377736
47.52	-0.0364576
47.525	-0.0346951
47.53	-0.0329317
47.535	-0.0316128
47.54	-0.031184
47.545	-0.0320909
47.55	-0.034779
47.555	-0.0374688
47.56	-0.0383801
47.565	-0.0379573
47.57	-0.0366447
47.575	-0.0348867
47.58	-0.0331278
47.585	-0.0318122
47.59	-0.0313844
47.595	-0.0322888
47.6	-0.0349697
47.605	-0.0376524
47.61	-0.0385612
47.615	-0.0381393
47.62	-0.03683
47.625	-0.0350765
47.63	-0.033322
47.635	-0.0320097
47.64	-0.0315828
47.645	-0.0324846
47.65	-0.0351582
47.655	-0.0378336
47.66	-0.0387398
47.665	-0.0383188
47.67	-0.0370127
47.675	-0.0352636
47.68	-0.0335135
47.685	-0.0322044
47.69	-0.0317784
47.695	-0.0326774
47.7	-0.0353437
47.705	-0.0380116
47.71	-0.0389151
47.715	-0.038495
47.72	-0.0371921
47.725	-0.0354473
47.73	-0.0337015
47.735	-0.0323956
47.74	-0.0319703
47.745	-0.0328666
47.75	-0.0355253
47.755	-0.0381858
47.76	-0.0390865
47.765	-0.0386671
47.77	-0.0373674
47.775	-0.0356269
47.78	-0.0338854
47.785	-0.0325826
47.79	-0.032158
47.795	-0.0330515
47.8	-0.0357026
47.805	-0.0383554
47.81	-0.0392533
47.815	-0.0388347
47.82	-0.037538
47.825	-0.0358019
47.83	-0.0340646
47.835	-0.0327649
47.84	-0.032341
47.845	-0.0332315
47.85	-0.0358749
47.855	-0.0385201
47.86	-0.039415
47.865	-0.0389971
47.87	-0.0377035
47.875	-0.0359716
47.88	-0.0342386
47.885	-0.0329419
47.89	-0.0325187
47.895	-0.0334062
47.9	-0.0360418
47.905	-0.0386792
47.91	-0.0395712
47.915	-0.0391539
47.92	-0.0378634
47.925	-0.0361358
47.93	-0.034407
47.935	-0.0331133
47.94	-0.0326907
47.945	-0.0335752
47.95	-0.036203
47.955	-0.0388325
47.96	-0.0397215
47.965	-0.0393049
47.97	-0.0380174
47.975	-0.036294
47.98	-0.0345695
47.985	-0.0332788
47.99	-0.0328568
47.995	-0.0337383
48	-0.0363581
48.005	-0.0389797
48.01	-0.0398657
48.015	-0.0394496
48.02	-0.0381652
48.025	-0.036446
48.03	-0.0347258
48.035	-0.0334381
48.04	-0.0330166
48.045	-0.033895
48.05	-0.0365069
48.055	-0.0391205
48.06	-0.0400034
48.065	-0.0395879
48.07	-0.0383065
48.075	-0.0365916
48.08	-0.0348757
48.085	-0.033591
48.09	-0.0331701
48.095	-0.0340453
48.1	-0.0366492
48.105	-0.0392548
48.11	-0.0401345
48.115	-0.0397197
48.12	-0.0384413
48.125	-0.0367307
48.13	-0.035019
48.135	-0.0337374
48.14	-0.033317
48.145	-0.0341891
48.15	-0.0367848
48.155	-0.0393823
48.16	-0.040259
48.165	-0.0398447
48.17	-0.0385694
48.175	-0.0368631
48.18	-0.0351557
48.185	-0.0338771
48.19	-0.0334573
48.195	-0.0343262
48.2	-0.0369138
48.205	-0.0395032
48.21	-0.0403767
48.215	-0.039963
48.22	-0.0386908
48.225	-0.0369888
48.23	-0.0352856
48.235	-0.0340101
48.24	-0.0335909
48.245	-0.0344566
48.25	-0.037036
48.255	-0.0396173
48.26	-0.0404876
48.265	-0.0400745
48.27	-0.0388054
48.275	-0.0371077
48.28	-0.0354089
48.285	-0.0341365
48.29	-0.0337178
48.295	-0.0345803
48.3	-0.0371515
48.305	-0.0397246
48.31	-0.0405917
48.315	-0.0401792
48.32	-0.0389132
48.325	-0.0372199
48.33	-0.0355255
48.335	-0.0342562
48.34	-0.0338381
48.345	-0.0346974
48.35	-0.0372604
48.355	-0.0398252
48.36	-0.0406892
48.365	-0.0402773
48.37	-0.0390144
48.375	-0.0373256
48.38	-0.0356355
48.385	-0.0343693
48.39	-0.0339518
48.395	-0.034808
48.4	-0.0373626
48.405	-0.0399192
48.41	-0.04078
48.415	-0.0403687
48.42	-0.0391091
48.425	-0.0374246
48.43	-0.0357391
48.435	-0.034476
48.44	-0.0340591
48.445	-0.034912
48.45	-0.0374584
48.455	-0.0400067
48.46	-0.0408643
48.465	-0.0404537
48.47	-0.0391972
48.475	-0.0375173
48.48	-0.0358362
48.485	-0.0345763
48.49	-0.0341601
48.495	-0.0350098
48.5	-0.0375478
48.505	-0.0400878
48.51	-0.0409422
48.515	-0.0405323
48.52	-0.0392791
48.525	-0.0376036
48.53	-0.0359271
48.535	-0.0346704
48.54	-0.0342549
48.545	-0.0351014
48.55	-0.0376311
48.555	-0.0401626
48.56	-0.0410139
48.565	-0.0406047
48.57	-0.0393548
48.575	-0.0376839
48.58	-0.0360119
48.585	-0.0347585
48.59	-0.0343436
48.595	-0.0351869
48.6	-0.0377083
48.605	-0.0402315
48.61	-0.0410796
48.615	-0.0406711
48.62	-0.0394245
48.625	-0.0377582
48.63	-0.0360908
48.635	-0.0348408
48.64	-0.0344266
48.645	-0.0352667
48.65	-0.0377796
48.655	-0.0402944
48.66	-0.0411394
48.665	-0.0407317
48.67	-0.0394884
48.675	-0.0378268
48.68	-0.0361641
48.685	-0.0349174
48.69	-0.0345039
48.695	-0.0353408
48.7	-0.0378453
48.705	-0.0403518
48.71	-0.0411936
48.715	-0.0407866
48.72	-0.0395467
48.725	-0.0378899
48.73	-0.0362318
48.735	-0.0349885
48.74	-0.0345758
48.745	-0.0354096
48.75	-0.0379056
48.755	-0.0404037
48.76	-0.0412423
48.765	-0.0408361
48.77	-0.0395997
48.775	-0.0379476
48.78	-0.0362944
48.785	-0.0350545
48.79	-0.0346426
48.795	-0.0354731
48.8	-0.0379608
48.805	-0.0404503
48.81	-0.0412858
48.815	-0.0408805
48.82	-0.0396476
48.825	-0.0380003
48.83	-0.0363518
48.835	-0.0351154
48.84	-0.0347043
48.845	-0.0355317
48.85	-0.0380109
48.855	-0.040492
48.86	-0.0413244
48.865	-0.0409199
48.87	-0.0396905
48.875	-0.0380481
48.88	-0.0364045
48.885	-0.0351716
48.89	-0.0347614
48.895	-0.0355856
48.9	-0.0380563
48.905	-0.0405289
48.91	-0.0413582
48.915	-0.0409546
48.92	-0.0397288
48.925	-0.0380913
48.93	-0.0364526
48.935	-0.0352233
48.94	-0.0348139
48.945	-0.035635
48.95	-0.0380972
48.955	-0.0405604
48.96	-0.041384
48.965	-0.0409775
48.97	-0.0397507
48.975	-0.0381132
48.98	-0.0364744
48.985	-0.0352441
48.99	-0.0348319
48.995	-0.0356473
49	-0.0381
49.005	-0.0405547
49.01	-0.0413753
49.015	-0.04097
49.02	-0.039747
49.025	-0.0381146
49.03	-0.0364811
49.035	-0.0352546
49.04	-0.0348434
49.045	-0.0356558
49.05	-0.0381
49.055	-0.0405463
49.06	-0.0413641
49.065	-0.0409602
49.07	-0.0397414
49.075	-0.0381147
49.08	-0.0364867
49.085	-0.0352645
49.09	-0.0348547
49.095	-0.0356643
49.1	-0.0381
49.105	-0.0405379
49.11	-0.0413528
49.115	-0.0409503
49.12	-0.0397358
49.125	-0.0381147
49.13	-0.0364924
49.135	-0.0352744
49.14	-0.034866
49.145	-0.0356727
49.15	-0.0381
49.155	-0.0405294
49.16	-0.0413416
49.165	-0.0409405
49.17	-0.0397302
49.175	-0.0381147
49.18	-0.0364981
49.185	-0.0352843
49.19	-0.0348773
49.195	-0.0356812
49.2	-0.0381
49.205	-0.0405209
49.21	-0.0413302
49.215	-0.0409306
49.22	-0.0397246
49.225	-0.0381148
49.23	-0.0365038
49.235	-0.0352942
49.24	-0.0348887
49.245	-0.0356897
49.25	-0.0381
49.255	-0.0405124
49.26	-0.0413189
49.265	-0.0409207
49.27	-0.0397189
49.275	-0.0381148
49.28	-0.0365095
49.285	-0.0353042
49.29	-0.0349001
49.295	-0.0356983
49.3	-0.0381
49.305	-0.0405039
49.31	-0.0413075
49.315	-0.0409107
49.32	-0.0397133
49.325	-0.0381149
49.33	-0.0365153
49.335	-0.0353142
49.34	-0.0349115
49.345	-0.0357069
49.35	-0.0381
49.355	-0.0404953
49.36	-0.0412961
49.365	-0.0409008
49.37	-0.0397076
49.375	-0.0381149
49.38	-0.036521
49.385	-0.0353243
49.39	-0.034923
49.395	-0.0357155
49.4	-0.0381
49.405	-0.0404867
49.41	-0.0412847
49.415	-0.0408908
49.42	-0.0397019
49.425	-0.038115
49.43	-0.0365268
49.435	-0.0353344
49.44	-0.0349345
49.445	-0.0357241
49.45	-0.0381
49.455	-0.0404781
49.46	-0.0412732
49.465	-0.0408807
49.47	-0.0396962
49.475	-0.038115
49.48	-0.0365326
49.485	-0.0353445
49.49	-0.034946
49.495	-0.0357327
49.5	-0.0381
49.505	-0.0404694
49.51	-0.0412617
49.515	-0.0408707
49.52	-0.0396905
49.525	-0.0381151
49.53	-0.0365385
49.535	-0.0353546
49.54	-0.0349576
49.545	-0.0357414
49.55	-0.0381
49.555	-0.0404608
49.56	-0.0412501
49.565	-0.0408606
49.57	-0.0396847
49.575	-0.0381151
49.58	-0.0365443
49.585	-0.0353648
49.59	-0.0349692
49.595	-0.0357501
49.6	-0.0381
49.605	-0.0404521
49.61	-0.0412385
49.615	-0.0408504
49.62	-0.039679
49.625	-0.0381152
49.63	-0.0365502
49.635	-0.035375
49.64	-0.0349809
49.645	-0.0357589
49.65	-0.0381
49.655	-0.0404433
49.66	-0.0412269
49.665	-0.0408403
49.67	-0.0396732
49.675	-0.0381152
49.68	-0.036556
49.685	-0.0353853
49.69	-0.0349926
49.695	-0.0357676
49.7	-0.0381
49.705	-0.0404346
49.71	-0.0412152
49.715	-0.0408301
49.72	-0.0396674
49.725	-0.0381153
49.73	-0.0365619
49.735	-0.0353956
49.74	-0.0350043
49.745	-0.0357764
49.75	-0.0381
49.755	-0.0404258
49.76	-0.0412035
49.765	-0.0408198
49.77	-0.0396616
49.775	-0.0381153
49.78	-0.0365679
49.785	-0.0354059
49.79	-0.0350161
49.795	-0.0357853
49.8	-0.0381
49.805	-0.040417
49.81	-0.0411917
49.815	-0.0408096
49.82	-0.0396557
49.825	-0.0381154
49.83	-0.0365738
49.835	-0.0354163
49.84	-0.0350279
49.845	-0.0357941
49.85	-0.0381
49.855	-0.0404081
49.86	-0.0411799
49.865	-0.0407993
49.87	-0.0396498
49.875	-0.0381154
49.88	-0.0365798
49.885	-0.0354267
49.89	-0.0350398
49.895	-0.035803
49.9	-0.0381
49.905	-0.0403992
49.91	-0.0411681
49.915	-0.0407889
49.92	-0.039644
49.925	-0.0381155
49.93	-0.0365858
49.935	-0.0354371
49.94	-0.0350517
49.945	-0.0358119
49.95	-0.0381
49.955	-0.0403903
49.96	-0.0411562
49.965	-0.0407785
49.97	-0.0396381
49.975	-0.0381155
49.98	-0.0365918
49.985	-0.0354476
49.99	-0.0350637
49.995	-0.0358209
50	-0.0381
50.005	-0.0403813
50.01	-0.0411443
50.015	-0.0407681
50.02	-0.0396321
50.025	-0.0381156
50.03	-0.0365978
50.035	-0.0354581
50.04	-0.0350757
50.045	-0.0358299
50.05	-0.0381
50.055	-0.0403724
50.06	-0.0411323
50.065	-0.0407577
50.07	-0.0396262
50.075	-0.0381157
50.08	-0.0366039
50.085	-0.0354687
50.09	-0.0350877
50.095	-0.0358389
50.1	-0.0381
50.105	-0.0403633
50.11	-0.0411203
50.115	-0.0407472
50.12	-0.0396202
50.125	-0.0381157
50.13	-0.03661
50.135	-0.0354793
50.14	-0.0350998
50.145	-0.035848
50.15	-0.0381
50.155	-0.0403543
50.16	-0.0411082
50.165	-0.0407366
50.17	-0.0396142
50.175	-0.0381158
50.18	-0.0366161
50.185	-0.0354899
50.19	-0.035112
50.195	-0.0358571
50.2	-0.0381
50.205	-0.0403452
50.21	-0.0410961
50.215	-0.0407261
50.22	-0.0396082
50.225	-0.0381159
50.23	-0.0366222
50.235	-0.0355006
50.24	-0.0351242
50.245	-0.0358662
50.25	-0.0381
50.255	-0.0403361
50.26	-0.041084
50.265	-0.0407154
50.27	-0.0396022
50.275	-0.0381159
50.28	-0.0366284
50.285	-0.0355113
50.29	-0.0351364
50.295	-0.0358754
50.3	-0.0381
50.305	-0.0403269
50.31	-0.0410718
50.315	-0.0407048
50.32	-0.0395961
50.325	-0.038116
50.33	-0.0366346
50.335	-0.0355221
50.34	-0.0351487
50.345	-0.0358846
50.35	-0.0381
50.355	-0.0403177
50.36	-0.0410595
50.365	-0.0406941
50.37	-0.03959
50.375	-0.038116
50.38	-0.0366408
50.385	-0.0355329
50.39	-0.035161
50.395	-0.0358939
50.4	-0.0381
50.405	-0.0403085
50.41	-0.0410472
50.415	-0.0406833
50.42	-0.0395839
50.425	-0.0381161
50.43	-0.036647
50.435	-0.0355438
50.44	-0.0351734
50.445	-0.0359031
50.45	-0.0381
50.455	-0.0402992
50.46	-0.0410348
50.465	-0.0406725
50.47	-0.0395778
50.475	-0.0381162
50.48	-0.0366533
50.485	-0.0355547
50.49	-0.0351859
50.495	-0.0359125
50.5	-0.0381
50.505	-0.0402899
50.51	-0.0410224
50.515	-0.0406617
50.52	-0.0395716
50.525	-0.0381162
50.53	-0.0366596
50.535	-0.0355656
50.54	-0.0351984
50.545	-0.0359218
50.55	-0.0381
50.555	-0.0402805
50.56	-0.04101
50.565	-0.0406508
50.57	-0.0395654
50.575	-0.0381163
50.58	-0.0366659
50.585	-0.0355766
50.59	-0.0352109
50.595	-0.0359312
50.6	-0.0381
50.605	-0.0402711
50.61	-0.0409975
50.615	-0.0406399
50.62	-0.0395592
50.625	-0.0381164
50.63	-0.0366722
50.635	-0.0355877
50.64	-0.0352235
50.645	-0.0359407
50.65	-0.0381
50.655	-0.0402617
50.66	-0.0409849
50.665	-0.0406289
50.67	-0.039553
50.675	-0.0381165
50.68	-0.0366786
50.685	-0.0355988
50.69	-0.0352362
50.695	-0.0359502
50.7	-0.0381
50.705	-0.0402522
50.71	-0.0409723
50.715	-0.0406179
50.72	-0.0395467
50.725	-0.0381165
50.73	-0.036685
50.735	-0.0356099
50.74	-0.0352489
50.745	-0.0359597
50.75	-0.0381
50.755	-0.0402427
50.76	-0.0409596
50.765	-0.0406068
50.77	-0.0395404
50.775	-0.0381166
50.78	-0.0366914
50.785	-0.0356211
50.79	-0.0352616
50.795	-0.0359692
50.8	-0.0381
50.805	-0.0402332
50.81	-0.0409469
50.815	-0.0405957
50.82	-0.0395341
50.825	-0.0381167
50.83	-0.0366979
50.835	-0.0356323
50.84	-0.0352744
50.845	-0.0359788
50.85	-0.0381
50.855	-0.0402236
50.86	-0.0409341
50.865	-0.0405845
50.87	-0.0395278
50.875	-0.0381167
50.88	-0.0367044
50.885	-0.0356436
50.89	-0.0352873
50.895	-0.0359885
50.9	-0.0381
50.905	-0.0402139
50.91	-0.0409213
50.915	-0.0405733
50.92	-0.0395214
50.925	-0.0381168
50.93	-0.0367109
50.935	-0.0356549
50.94	-0.0353002
50.945	-0.0359982
50.95	-0.0381
50.955	-0.0402043
50.96	-0.0409084
50.965	-0.0405621
50.97	-0.039515
50.975	-0.0381169
50.98	-0.0367174
50.985	-0.0356663
50.99	-0.0353132
50.995	-0.0360079
51	-0.0381
51.005	-0.0401945
51.01	-0.0408954
51.015	-0.0405508
51.02	-0.0395086
51.025	-0.0381169
51.03	-0.036724
51.035	-0.0356777
51.04	-0.0353263
51.045	-0.0360177
51.05	-0.0381
51.055	-0.0401848
51.06	-0.0408824
51.065	-0.0405394
51.07	-0.0395021
51.075	-0.038117
51.08	-0.0367306
51.085	-0.0356892
51.09	-0.0353394
51.095	-0.0360275
51.1	-0.0381
51.105	-0.040175
51.11	-0.0408694
51.115	-0.040528
51.12	-0.0394956
51.125	-0.0381171
51.13	-0.0367372
51.135	-0.0357007
51.14	-0.0353525
51.145	-0.0360373
51.15	-0.0381
51.155	-0.0401651
51.16	-0.0408563
51.165	-0.0405165
51.17	-0.0394891
51.175	-0.0381172
51.18	-0.0367438
51.185	-0.0357123
51.19	-0.0353657
51.195	-0.0360472
51.2	-0.0381
51.205	-0.0401553
51.21	-0.0408431
51.215	-0.040505
51.22	-0.0394826
51.225	-0.0381172
51.23	-0.0367505
51.235	-0.0357239
51.24	-0.035379
51.245	-0.0360572
51.25	-0.0381
51.255	-0.0401453
51.26	-0.0408299
51.265	-0.0404935
51.27	-0.039476
51.275	-0.0381173
51.28	-0.0367572
51.285	-0.0357356
51.29	-0.0353923
51.295	-0.0360671
51.3	-0.0381
51.305	-0.0401354
51.31	-0.0408166
51.315	-0.0404819
51.32	-0.0394694
51.325	-0.0381174
51.33	-0.036764
51.335	-0.0357473
51.34	-0.0354056
51.345	-0.0360772
51.35	-0.0381
51.355	-0.0401254
51.36	-0.0408033
51.365	-0.0404703
51.37	-0.0394628
51.375	-0.0381175
51.38	-0.0367707
51.385	-0.0357591
51.39	-0.0354191
51.395	-0.0360872
51.4	-0.0381
51.405	-0.0401153
51.41	-0.0407899
51.415	-0.0404586
51.42	-0.0394562
51.425	-0.0381175
51.43	-0.0367775
51.435	-0.0357709
51.44	-0.0354326
51.445	-0.0360973
51.45	-0.0381
51.455	-0.0401052
51.46	-0.0407764
51.465	-0.0404468
51.47	-0.0394495
51.475	-0.0381176
51.48	-0.0367843
51.485	-0.0357828
51.49	-0.0354461
51.495	-0.0361075
51.5	-0.0381
51.505	-0.040095
51.51	-0.0407628
51.515	-0.0404347
51.52	-0.0394422
51.525	-0.0381169
51.53	-0.0367901
51.535	-0.0357934
51.54	-0.0354583
51.545	-0.0361161
51.55	-0.0380984
51.555	-0.0400832
51.56	-0.0407474
51.565	-0.0404209
51.57	-0.0394334
51.575	-0.0381147
51.58	-0.0367946
51.585	-0.0358028
51.59	-0.0354692
51.595	-0.0361235
51.6	-0.0380956
51.605	-0.0400702
51.61	-0.040731
51.615	-0.0404063
51.62	-0.0394239
51.625	-0.0381121
51.63	-0.0367988
51.635	-0.0358122
51.64	-0.0354803
51.645	-0.0361312
51.65	-0.038093
51.655	-0.0400573
51.66	-0.0407148
51.665	-0.0403918
51.67	-0.0394146
51.675	-0.0381097
51.68	-0.0368033
51.685	-0.0358219
51.69	-0.0354917
51.695	-0.0361392
51.7	-0.0380906
51.705	-0.0400447
51.71	-0.0406987
51.715	-0.0403775
51.72	-0.0394055
51.725	-0.0381075
51.73	-0.0368081
51.735	-0.0358318
51.74	-0.0355034
51.745	-0.0361474
51.75	-0.0380885
51.755	-0.0400322
51.76	-0.0406828
51.765	-0.0403633
51.77	-0.0393966
51.775	-0.0381056
51.78	-0.0368131
51.785	-0.035842
51.79	-0.0355153
51.795	-0.0361559
51.8	-0.0380865
51.805	-0.0400198
51.81	-0.0406671
51.815	-0.0403494
51.82	-0.0393879
51.825	-0.0381038
51.83	-0.0368183
51.835	-0.0358525
51.84	-0.0355275
51.845	-0.0361646
51.85	-0.0380848
51.855	-0.0400077
51.86	-0.0406514
51.865	-0.0403355
51.87	-0.0393793
51.875	-0.0381022
51.88	-0.0368237
51.885	-0.0358631
51.89	-0.0355399
51.895	-0.0361735
51.9	-0.0380832
51.905	-0.0399956
51.91	-0.0406359
51.915	-0.0403218
51.92	-0.0393709
51.925	-0.0381008
51.93	-0.0368293
51.935	-0.035874
51.94	-0.0355526
51.945	-0.0361826
51.95	-0.0380818
51.955	-0.0399837
51.96	-0.0406205
51.965	-0.0403082
51.97	-0.0393626
51.975	-0.0380996
