Position(m)	Deflection(m)
1.615	0.0510578
1.62	0.0509527
1.625	0.0508112
1.63	0.0506687
1.635	0.0505609
1.64	0.0505232
1.645	0.0505911
1.65	0.0508
1.655	0.0510105
1.66	0.0510825
1.665	0.0510503
1.67	0.0509484
1.675	0.0508111
1.68	0.050673
1.685	0.0505684
1.69	0.0505317
1.695	0.0505975
1.7	0.0508
1.705	0.0510041
1.71	0.051074
1.715	0.0510428
1.72	0.0509441
1.725	0.0508111
1.73	0.0506772
1.735	0.0505758
1.74	0.0505402
1.745	0.0506038
1.75	0.0508
1.755	0.0509978
1.76	0.0510655
1.765	0.0510354
1.77	0.0509398
1.775	0.0508111
1.78	0.0506814
1.785	0.0505832
1.79	0.0505487
1.795	0.0506102
1.8	0.0508
1.805	0.0509914
1.81	0.051057
1.815	0.0510279
1.82	0.0509356
1.825	0.0508111
1.83	0.0506857
1.835	0.0505906
1.84	0.0505572
1.845	0.0506166
1.85	0.0508
1.855	0.050985
1.86	0.0510485
1.865	0.0510205
1.87	0.0509313
1.875	0.0508111
1.88	0.0506899
1.885	0.0505981
1.89	0.0505657
1.895	0.0506229
1.9	0.0508
1.905	0.0509787
1.91	0.05104
1.915	0.0510131
1.92	0.0509271
1.925	0.0508111
1.93	0.0506942
1.935	0.0506055
1.94	0.0505742
1.945	0.0506293
1.95	0.0508
1.955	0.0509723
1.96	0.0510315
1.965	0.0510056
1.97	0.0509229
1.975	0.0508111
1.98	0.0506985
1.985	0.050613
1.99	0.0505828
1.995	0.0506357
2	0.0508
2.005	0.0509659
2.01	0.0510229
2.015	0.0509982
2.02	0.0509186
2.025	0.0508112
2.03	0.0507028
2.035	0.0506206
2.04	0.0505913
2.045	0.0506422
2.05	0.0508
2.055	0.0509594
2.06	0.0510144
2.065	0.0509907
2.07	0.0509144
2.075	0.0508112
2.08	0.0507072
2.085	0.0506281
2.09	0.0506
2.095	0.0506486
2.1	0.0508
2.105	0.050953
2.11	0.0510058
2.115	0.0509832
2.12	0.0509101
2.125	0.0508113
2.13	0.0507116
2.135	0.0506358
2.14	0.0506087
2.145	0.0506552
2.15	0.0508
2.155	0.0509465
2.16	0.0509971
2.165	0.0509757
2.17	0.0509059
2.175	0.0508114
2.18	0.050716
2.185	0.0506435
2.19	0.0506175
2.195	0.0506617
2.2	0.0508
2.205	0.0509399
2.21	0.0509884
2.215	0.0509681
2.22	0.0509016
2.225	0.0508115
2.23	0.0507205
2.235	0.0506512
2.24	0.0506263
2.245	0.0506684
2.25	0.0508
2.255	0.0509333
2.26	0.0509796
2.265	0.0509604
2.27	0.0508972
2.275	0.0508116
2.28	0.0507251
2.285	0.0506591
2.29	0.0506353
2.295	0.0506751
2.3	0.0508
2.305	0.0509266
2.31	0.0509707
2.315	0.0509527
2.32	0.0508929
2.325	0.0508118
2.33	0.0507297
2.335	0.0506671
2.34	0.0506443
2.345	0.0506818
2.35	0.0508
2.355	0.0509199
2.36	0.0509617
2.365	0.0509448
2.37	0.0508885
2.375	0.0508119
2.38	0.0507344
2.385	0.0506752
2.39	0.0506535
2.395	0.0506887
2.4	0.0508
2.405	0.050913
2.41	0.0509526
2.415	0.0509369
2.42	0.050884
2.425	0.0508121
2.43	0.0507391
2.435	0.0506833
2.44	0.0506628
2.445	0.0506957
2.45	0.0508
2.455	0.0509061
2.46	0.0509434
2.465	0.0509289
2.47	0.0508795
2.475	0.0508122
2.48	0.050744
2.485	0.0506917
2.49	0.0506723
2.495	0.0507027
2.5	0.0508
2.505	0.050899
2.51	0.050934
2.515	0.0509208
2.52	0.050875
2.525	0.0508124
2.53	0.0507489
2.535	0.0507001
2.54	0.0506819
2.545	0.0507099
2.55	0.0508
2.555	0.0508919
2.56	0.0509246
2.565	0.0509125
2.57	0.0508704
2.575	0.0508126
2.58	0.0507539
2.585	0.0507087
2.59	0.0506916
2.595	0.0507172
2.6	0.0508
2.605	0.0508846
2.61	0.0509149
2.615	0.0509041
2.62	0.0508657
2.625	0.0508129
2.63	0.050759
2.635	0.0507175
2.64	0.0507016
2.645	0.0507246
2.65	0.0508
2.655	0.0508772
2.66	0.0509051
2.665	0.0508956
2.67	0.0508609
2.675	0.0508131
2.68	0.0507642
2.685	0.0507264
2.69	0.0507117
2.695	0.0507322
2.7	0.0508
2.705	0.0508697
2.71	0.0508951
2.715	0.0508869
2.72	0.0508561
2.725	0.0508133
2.73	0.0507695
2.735	0.0507355
2.74	0.050722
2.745	0.0507399
2.75	0.0508
2.755	0.0508621
2.76	0.0508849
2.765	0.0508781
2.77	0.0508512
2.775	0.0508136
2.78	0.050775
2.785	0.0507447
2.79	0.0507325
2.795	0.0507477
2.8	0.0508
2.805	0.0508542
2.81	0.0508745
2.815	0.0508691
2.82	0.0508462
2.825	0.0508139
2.83	0.0507805
2.835	0.0507542
2.84	0.0507432
2.845	0.0507558
2.85	0.0508
2.855	0.0508463
2.86	0.050864
2.865	0.0508599
2.87	0.050841
2.875	0.0508142
2.88	0.0507862
2.885	0.0507639
2.89	0.0507542
2.895	0.0507639
2.9	0.0508
2.905	0.0508381
2.91	0.0508532
2.915	0.0508506
2.92	0.0508358
2.925	0.0508145
2.93	0.0507919
2.935	0.0507737
2.94	0.0507654
2.945	0.0507723
2.95	0.0508
2.955	0.0508298
2.96	0.0508421
2.965	0.050841
2.97	0.0508305
2.975	0.0508148
2.98	0.0507979
2.985	0.0507838
2.99	0.0507768
2.995	0.0507808
3	0.0508
3.005	0.0508213
3.01	0.0508309
3.015	0.0508312
3.02	0.0508251
3.025	0.0508151
3.03	0.0508039
3.035	0.0507942
3.04	0.0507885
3.045	0.0507896
3.05	0.0508
3.055	0.0508126
3.06	0.0508193
3.065	0.0508212
3.07	0.0508196
3.075	0.0508155
3.08	0.0508101
3.085	0.0508047
3.09	0.0508005
3.095	0.0507985
3.1	0.0508
3.105	0.0508038
3.11	0.0508076
3.115	0.050811
3.12	0.0508139
3.125	0.0508158
3.13	0.0508165
3.135	0.0508155
3.14	0.0508127
3.145	0.0508076
3.15	0.0508
3.155	0.0507947
3.16	0.0507955
3.165	0.0508006
3.17	0.0508081
3.175	0.0508162
3.18	0.050823
3.185	0.0508266
3.19	0.0508252
3.195	0.050817
3.2	0.0508
3.205	0.0507854
3.21	0.0507832
3.215	0.0507899
3.22	0.0508022
3.225	0.0508166
3.23	0.0508296
3.235	0.0508379
3.24	0.0508381
3.245	0.0508266
3.25	0.0508
3.255	0.0507759
3.26	0.0507705
3.265	0.050779
3.27	0.0507961
3.275	0.050817
3.28	0.0508365
3.285	0.0508496
3.29	0.0508512
3.295	0.0508364
3.3	0.0508
3.305	0.0507661
3.31	0.0507576
3.315	0.0507678
3.32	0.0507899
3.325	0.0508174
3.33	0.0508435
3.335	0.0508615
3.34	0.0508647
3.345	0.0508464
3.35	0.0508
3.355	0.0507561
3.36	0.0507444
3.365	0.0507563
3.37	0.0507836
3.375	0.0508178
3.38	0.0508506
3.385	0.0508736
3.39	0.0508785
3.395	0.0508567
3.4	0.0508
3.405	0.0507459
3.41	0.0507308
3.415	0.0507445
3.42	0.0507771
3.425	0.0508183
3.43	0.050858
3.435	0.0508861
3.44	0.0508926
3.445	0.0508673
3.45	0.0508
3.455	0.0507354
3.46	0.0507169
3.465	0.0507325
3.47	0.0507704
3.475	0.0508187
3.48	0.0508655
3.485	0.050899
3.49	0.0509071
3.495	0.0508781
3.5	0.0508
3.505	0.0507247
3.51	0.0507026
3.515	0.0507202
3.52	0.0507636
3.525	0.0508192
3.53	0.0508733
3.535	0.0509121
3.54	0.050922
3.545	0.0508892
3.55	0.0508
3.555	0.0507136
3.56	0.050688
3.565	0.0507075
3.57	0.0507566
3.575	0.0508197
3.58	0.0508812
3.585	0.0509255
3.59	0.0509372
3.595	0.0509005
3.6	0.0508
3.605	0.0507023
3.61	0.050673
3.615	0.0506945
3.62	0.0507494
3.625	0.0508202
3.63	0.0508893
3.635	0.0509393
3.64	0.0509528
3.645	0.0509122
3.65	0.0508
3.655	0.0506908
3.66	0.0506577
3.665	0.0506812
3.67	0.0507421
3.675	0.0508207
3.68	0.0508976
3.685	0.0509535
3.69	0.0509688
3.695	0.0509241
3.7	0.0508
3.705	0.0506789
3.71	0.0506419
3.715	0.0506676
3.72	0.0507345
3.725	0.0508212
3.73	0.0509062
3.735	0.050968
3.74	0.0509852
3.745	0.0509364
3.75	0.0508
3.755	0.0506667
3.76	0.0506258
3.765	0.0506536
3.77	0.0507268
3.775	0.0508217
3.78	0.0509149
3.785	0.0509828
3.79	0.051002
3.795	0.0509489
3.8	0.0508
3.805	0.0506543
3.81	0.0506092
3.815	0.0506393
3.82	0.0507189
3.825	0.0508222
3.83	0.0509238
3.835	0.050998
3.84	0.0510192
3.845	0.0509617
3.85	0.0508
3.855	0.0506415
3.86	0.0505923
3.865	0.0506246
3.87	0.0507107
3.875	0.0508228
3.88	0.050933
3.885	0.0510136
3.89	0.0510369
3.895	0.0509749
3.9	0.0508
3.905	0.0506284
3.91	0.0505749
3.915	0.0506096
3.92	0.0507024
3.925	0.0508233
3.93	0.0509424
3.935	0.0510296
3.94	0.0510549
3.945	0.0509884
3.95	0.0508
3.955	0.0506134
3.96	0.0505512
3.965	0.0505819
3.97	0.0506738
3.975	0.0507953
3.98	0.050915
3.985	0.0510011
3.99	0.0510222
3.995	0.0509467
4	0.0507429
4.005	0.0505358
4.01	0.0504505
4.015	0.0504561
4.02	0.0505217
4.025	0.0506163
4.03	0.0507089
4.035	0.0507686
4.04	0.0507645
4.045	0.0506655
4.05	0.0504408
4.055	0.0502186
4.06	0.0501259
4.065	0.0501298
4.07	0.0501975
4.075	0.0502961
4.08	0.0503926
4.085	0.0504543
4.09	0.0504483
4.095	0.0503416
4.1	0.0501014
4.105	0.0498638
4.11	0.0497634
4.115	0.0497654
4.12	0.049835
4.125	0.0499374
4.13	0.0500378
4.135	0.0501013
4.14	0.0500931
4.145	0.0499784
4.15	0.0497224
4.155	0.0494689
4.16	0.0493605
4.165	0.0493604
4.17	0.0494318
4.175	0.0495379
4.18	0.0496419
4.185	0.0497071
4.19	0.0496966
4.195	0.0495736
4.2	0.0493014
4.205	0.0490317
4.21	0.048915
4.215	0.0489126
4.22	0.0489856
4.225	0.0490952
4.23	0.0492028
4.235	0.0492694
4.24	0.0492564
4.245	0.0491248
4.25	0.048836
4.255	0.0485498
4.26	0.0484246
4.265	0.0484196
4.27	0.0484941
4.275	0.0486072
4.28	0.0487182
4.285	0.0487861
4.29	0.0487704
4.295	0.04863
4.3	0.0483243
4.305	0.0480212
4.31	0.0478872
4.315	0.0478795
4.32	0.0479553
4.325	0.0480717
4.33	0.048186
4.335	0.0482552
4.34	0.0482365
4.345	0.0480871
4.35	0.0477641
4.355	0.0474437
4.36	0.0473007
4.365	0.0472902
4.37	0.0473672
4.375	0.0474869
4.38	0.0476043
4.385	0.0476746
4.39	0.0476529
4.395	0.0474942
4.4	0.0471537
4.405	0.0468157
4.41	0.0466635
4.415	0.0466499
4.42	0.0467281
4.425	0.0468509
4.43	0.0469715
4.435	0.0470428
4.44	0.0470179
4.445	0.0468497
4.45	0.0464913
4.455	0.0461356
4.46	0.0459739
4.465	0.0459572
4.47	0.0460364
4.475	0.0461624
4.48	0.046286
4.485	0.0463583
4.49	0.0463301
4.495	0.0461523
4.5	0.0457758
4.505	0.0454019
4.51	0.0452307
4.515	0.0452107
4.52	0.0452909
4.525	0.04542
4.53	0.0455468
4.535	0.04562
4.54	0.0455884
4.545	0.0454008
4.55	0.045006
4.555	0.0446138
4.56	0.0444328
4.565	0.0444096
4.57	0.0444908
4.575	0.0446231
4.58	0.0447529
4.585	0.044827
4.59	0.0447921
4.595	0.0445946
4.6	0.0441812
4.605	0.0437706
4.61	0.0435798
4.615	0.0435533
4.62	0.0436356
4.625	0.043771
4.63	0.043904
4.635	0.0439792
4.64	0.0439408
4.645	0.0437334
4.65	0.0433013
4.655	0.0428721
4.66	0.0426715
4.665	0.0426417
4.67	0.0427251
4.675	0.0428638
4.68	0.0430002
4.685	0.0430764
4.69	0.0430347
4.695	0.0428173
