Position(m)	Shear_Force(N)
35	-48964.9
35.1	-49172.2
35.2	-49379.4
35.3	-49586.7
35.4	-49794
35.5	-50001.3
35.6	-50208.5
35.7	-50415.8
35.8	-50623.1
35.9	-50830.4
36	-51037.6
36.1	-51244.9
36.2	-51452.2
36.3	-51659.5
36.4	-51866.7
36.5	-52074
36.6	-52281.3
36.7	-52488.5
36.8	-52695.8
36.9	-52903.1
37	-53110.4
37.1	-53317.6
37.2	-53524.9
37.3	-53732.2
37.4	-53939.5
37.5	-54146.7
37.6	-54354
37.7	-54561.3
37.8	-54768.6
37.9	-54975.8
38	-55183.1
38.1	-55390.4
38.2	-55597.6
38.3	-55804.9
38.4	-56012.2
38.5	-56219.5
38.6	-56426.7
38.7	-56634
38.8	-56841.3
38.9	-57048.6
39	-57255.8
39.1	-57463.1
39.2	-57670.4
39.3	-57877.7
39.4	-58084.9
39.5	-58292.2
39.6	-58499.5
39.7	-58706.8
39.8	-58914
39.9	-59121.3
40	-59328.6
40.1	-59535.9
40.2	-59743.1
40.3	-59950.4
40.4	-60157.7
40.5	-60364.9
40.6	-60572.2
40.7	-60779.5
40.8	-60986.8
40.9	-61194
41	-61401.3
41.1	-61608.6
41.2	-61815.9
41.3	-62023.1
41.4	-62230.4
41.5	-62437.7
41.6	-62645
41.7	-62852.2
41.8	-63059.5
41.9	-63266.8
42	-63474.1
42.1	-63681.3
42.2	-63888.6
42.3	-64095.9
42.4	-64303.1
42.5	-64510.4
42.6	-64717.7
42.7	-64925
42.8	-65132.2
42.9	-65339.5
43	-65546.8
43.1	-65754.1
43.2	-65961.3
43.3	-66168.6
43.4	-66375.9
43.5	-66583.2
43.6	-66790.4
43.7	-66997.7
43.8	-67205
43.9	-67412.2
44	-67619.5
44.1	-67826.8
44.2	-68034.1
44.3	-68241.3
44.4	-68448.6
44.5	-68655.9
44.6	-68863.2
44.7	-69070.4
44.8	-69277.7
44.9	-69485
45	-69692.2
45.1	-69899.5
45.2	-70106.8
45.3	-70314.1
45.4	-70521.3
45.5	-70728.6
45.6	-70935.9
45.7	-71143.2
45.8	-71350.4
45.9	-71557.7
46	-71765
46.1	-71972.3
46.2	-72179.5
46.3	-72386.8
46.4	-72594.1
46.5	-72801.4
46.6	-73008.6
46.7	-73215.9
46.8	-73423.2
46.9	-73630.5
47	-73837.7
47.1	-74045
47.2	-74252.3
47.3	-74459.5
47.4	-74632.1
47.5	-74769.9
47.6	-74907.8
47.7	-75045.6
47.8	-75183.4
47.9	-75321.3
48	-75459.1
48.1	-75596.9
48.2	-75734.7
48.3	-75872.6
48.4	-76010.4
48.5	-76148.2
48.6	-76286.1
48.7	-76423.9
48.8	-76561.7
48.9	-76699.6
49	-76837.4
49.1	-76975.2
49.2	-77113.1
49.3	-77250.9
49.4	-77388.7
49.5	-77526.6
49.6	-77664.4
49.7	-77802.2
49.8	-77940.1
49.9	-78077.9
50	-78215.7
50.1	-78353.5
50.2	-78491.4
50.3	-78629.2
50.4	-78767
50.5	-78904.9
50.6	-79042.7
50.7	-79180.5
50.8	-79318.4
50.9	-79456.2
51	-79594
51.1	-79731.9
51.2	-79869.7
51.3	-80007.5
51.4	-80145.3
51.5	-80283.2
51.6	-80421
51.7	-80558.8
51.8	-80696.7
51.9	-80834.5
52	-80972.3
52.1	-81110.2
52.2	-81248
52.3	-81385.8
52.4	-81523.7
52.5	-81661.5
52.6	-81799.3
52.7	-81937.2
52.8	-82075
52.9	-82212.8
53	-82350.7
53.1	-82488.5
53.2	-82626.3
53.3	-82764.1
53.4	-82902
53.5	-83039.8
53.6	-83177.6
53.7	-83315.5
