Position(m)	Bending_Moment(Nm)
116.1	7.57183e+07
116.2	7.57772e+07
116.3	7.58359e+07
116.4	7.58943e+07
116.5	7.59523e+07
116.6	7.60101e+07
116.7	7.60677e+07
116.8	7.61249e+07
116.9	7.61818e+07
117	7.62384e+07
117.1	7.62948e+07
117.2	7.63509e+07
117.3	7.64067e+07
117.4	7.64622e+07
117.5	7.65174e+07
117.6	7.65723e+07
117.7	7.6627e+07
117.8	7.66813e+07
117.9	7.67354e+07
118	7.67892e+07
118.1	7.68428e+07
118.2	7.6896e+07
118.3	7.6949e+07
118.4	7.70017e+07
118.5	7.70541e+07
118.6	7.71063e+07
118.7	7.71582e+07
118.8	7.72097e+07
118.9	7.72611e+07
119	7.73121e+07
119.1	7.73629e+07
119.2	7.74134e+07
119.3	7.74637e+07
119.4	7.75136e+07
119.5	7.75633e+07
119.6	7.76128e+07
119.7	7.76619e+07
119.8	7.77108e+07
119.9	7.77595e+07
120	7.78078e+07
120.1	7.78559e+07
120.2	7.79038e+07
120.3	7.79513e+07
120.4	7.79986e+07
120.5	7.80457e+07
120.6	7.80925e+07
120.7	7.8139e+07
120.8	7.81853e+07
120.9	7.82313e+07
121	7.8277e+07
121.1	7.83225e+07
121.2	7.83678e+07
121.3	7.84128e+07
121.4	7.84575e+07
121.5	7.8502e+07
121.6	7.85462e+07
121.7	7.85902e+07
121.8	7.86339e+07
121.9	7.86773e+07
122	7.87205e+07
122.1	7.87635e+07
122.2	7.88062e+07
122.3	7.88487e+07
122.4	7.88909e+07
122.5	7.89329e+07
122.6	7.89746e+07
122.7	7.90161e+07
122.8	7.90573e+07
122.9	7.90983e+07
123	7.9139e+07
123.1	7.91795e+07
123.2	7.92198e+07
123.3	7.92598e+07
123.4	7.92996e+07
123.5	7.93391e+07
123.6	7.93784e+07
123.7	7.94175e+07
123.8	7.94563e+07
123.9	7.94949e+07
124	7.95333e+07
124.1	7.95714e+07
124.2	7.96093e+07
124.3	7.96469e+07
124.4	7.96843e+07
124.5	7.97215e+07
124.6	7.97584e+07
124.7	7.97952e+07
124.8	7.98316e+07
124.9	7.98679e+07
125	7.99039e+07
125.1	7.99397e+07
125.2	7.99753e+07
125.3	8.00107e+07
125.4	8.00458e+07
125.5	8.00807e+07
125.6	8.01153e+07
125.7	8.01498e+07
125.8	8.0184e+07
125.9	8.0218e+07
126	8.02518e+07
126.1	8.02853e+07
126.2	8.03187e+07
126.3	8.03518e+07
126.4	8.03847e+07
126.5	8.04174e+07
126.6	8.04499e+07
126.7	8.04821e+07
126.8	8.05141e+07
126.9	8.0546e+07
127	8.05776e+07
127.1	8.0609e+07
127.2	8.06401e+07
127.3	8.06711e+07
127.4	8.07018e+07
127.5	8.07324e+07
127.6	8.07627e+07
127.7	8.07928e+07
127.8	8.08228e+07
127.9	8.08525e+07
128	8.0882e+07
128.1	8.09113e+07
128.2	8.09404e+07
128.3	8.09692e+07
128.4	8.09979e+07
128.5	8.10264e+07
128.6	8.10547e+07
128.7	8.10827e+07
128.8	8.11106e+07
128.9	8.11383e+07
129	8.11658e+07
129.1	8.1193e+07
129.2	8.12201e+07
129.3	8.1247e+07
129.4	8.12737e+07
129.5	8.13001e+07
129.6	8.13264e+07
129.7	8.13525e+07
129.8	8.13784e+07
129.9	8.14041e+07
130	8.14296e+07
130.1	8.1455e+07
130.2	8.14801e+07
130.3	8.1505e+07
130.4	8.15298e+07
130.5	8.15543e+07
130.6	8.15787e+07
130.7	8.16029e+07
130.8	8.16269e+07
130.9	8.16507e+07
131	8.16743e+07
131.1	8.16978e+07
131.2	8.17211e+07
131.3	8.17441e+07
131.4	8.1767e+07
131.5	8.17897e+07
131.6	8.18123e+07
131.7	8.18346e+07
131.8	8.18568e+07
131.9	8.18788e+07
132	8.19006e+07
132.1	8.19223e+07
132.2	8.19437e+07
132.3	8.1965e+07
132.4	8.19861e+07
132.5	8.20071e+07
132.6	8.20278e+07
132.7	8.20484e+07
132.8	8.20688e+07
132.9	8.20891e+07
133	8.21092e+07
133.1	8.21291e+07
133.2	8.21488e+07
133.3	8.21684e+07
133.4	8.21878e+07
133.5	8.2207e+07
133.6	8.22261e+07
133.7	8.2245e+07
133.8	8.22637e+07
133.9	8.22823e+07
134	8.23007e+07
134.1	8.2319e+07
134.2	8.23371e+07
134.3	8.2355e+07
134.4	8.23728e+07
134.5	8.23904e+07
134.6	8.24078e+07
134.7	8.24251e+07
134.8	8.24422e+07
134.9	8.24592e+07
135	8.2476e+07
135.1	8.24927e+07
135.2	8.25092e+07
135.3	8.25256e+07
135.4	8.25418e+07
135.5	8.25578e+07
135.6	8.25737e+07
135.7	8.25895e+07
135.8	8.26051e+07
135.9	8.26205e+07
136	8.26358e+07
136.1	8.2651e+07
136.2	8.2666e+07
136.3	8.26808e+07
136.4	8.26956e+07
136.5	8.27101e+07
136.6	8.27245e+07
136.7	8.27388e+07
136.8	8.2753e+07
136.9	8.2767e+07
137	8.27808e+07
137.1	8.27945e+07
137.2	8.28081e+07
137.3	8.28215e+07
137.4	8.28348e+07
137.5	8.2848e+07
137.6	8.2861e+07
137.7	8.28739e+07
137.8	8.28866e+07
137.9	8.28993e+07
138	8.29117e+07
138.1	8.29241e+07
138.2	8.29363e+07
138.3	8.29484e+07
138.4	8.29603e+07
138.5	8.29721e+07
138.6	8.29838e+07
138.7	8.29954e+07
138.8	8.30068e+07
138.9	8.30181e+07
139	8.30293e+07
139.1	8.30404e+07
139.2	8.30513e+07
139.3	8.30621e+07
139.4	8.30728e+07
139.5	8.30833e+07
139.6	8.30938e+07
139.7	8.31041e+07
139.8	8.31143e+07
139.9	8.31243e+07
140	8.31343e+07
140.1	8.31441e+07
140.2	8.31538e+07
140.3	8.31634e+07
140.4	8.31729e+07
140.5	8.31823e+07
140.6	8.31915e+07
140.7	8.32006e+07
140.8	8.32097e+07
140.9	8.32186e+07
141	8.32274e+07
141.1	8.3236e+07
141.2	8.32446e+07
141.3	8.32531e+07
141.4	8.32614e+07
141.5	8.32697e+07
141.6	8.32778e+07
141.7	8.32858e+07
141.8	8.32938e+07
141.9	8.33016e+07
142	8.33093e+07
142.1	8.33169e+07
142.2	8.33244e+07
142.3	8.33318e+07
142.4	8.33391e+07
142.5	8.33463e+07
142.6	8.33534e+07
142.7	8.33604e+07
142.8	8.33673e+07
142.9	8.33741e+07
143	8.33808e+07
143.1	8.33874e+07
143.2	8.33939e+07
143.3	8.34003e+07
143.4	8.34066e+07
143.5	8.34129e+07
143.6	8.3419e+07
143.7	8.3425e+07
143.8	8.3431e+07
143.9	8.34368e+07
144	8.34426e+07
144.1	8.34483e+07
144.2	8.34539e+07
144.3	8.34594e+07
144.4	8.34648e+07
144.5	8.34701e+07
144.6	8.34753e+07
144.7	8.34805e+07
144.8	8.34856e+07
144.9	8.34905e+07
145	8.34954e+07
145.1	8.35003e+07
145.2	8.3505e+07
145.3	8.35097e+07
145.4	8.35142e+07
145.5	8.35187e+07
145.6	8.35231e+07
145.7	8.35275e+07
145.8	8.35317e+07
145.9	8.35359e+07
146	8.354e+07
146.1	8.35441e+07
146.2	8.3548e+07
146.3	8.35519e+07
146.4	8.35557e+07
146.5	8.35595e+07
146.6	8.35632e+07
146.7	8.35668e+07
146.8	8.35703e+07
146.9	1.17611e+08
147	1.17614e+08
147.1	1.17618e+08
147.2	1.17621e+08
147.3	1.17624e+08
147.4	1.17627e+08
147.5	1.1763e+08
147.6	1.17633e+08
147.7	1.17636e+08
147.8	1.17639e+08
147.9	1.17642e+08
148	1.17645e+08
148.1	1.17647e+08
148.2	1.1765e+08
148.3	1.17653e+08
148.4	1.17655e+08
148.5	1.17657e+08
148.6	1.1766e+08
148.7	1.17662e+08
148.8	1.17664e+08
148.9	1.17667e+08
149	1.17669e+08
149.1	1.17671e+08
149.2	1.17673e+08
149.3	1.17675e+08
149.4	1.17677e+08
149.5	1.17679e+08
149.6	1.17681e+08
149.7	1.17683e+08
149.8	1.17684e+08
149.9	1.17686e+08
150	1.17688e+08
150.1	1.17689e+08
150.2	1.17691e+08
150.3	1.17692e+08
150.4	1.17694e+08
150.5	1.17695e+08
150.6	1.17697e+08
150.7	1.17698e+08
150.8	1.17699e+08
150.9	1.177e+08
151	1.17702e+08
151.1	1.17703e+08
151.2	1.17704e+08
151.3	1.17705e+08
151.4	1.17706e+08
151.5	1.17707e+08
151.6	1.17708e+08
151.7	1.17709e+08
151.8	1.1771e+08
151.9	1.17711e+08
152	1.17712e+08
152.1	1.17713e+08
152.2	1.17713e+08
152.3	1.17714e+08
152.4	1.17715e+08
152.5	1.17715e+08
152.6	1.17716e+08
152.7	1.17717e+08
152.8	1.17717e+08
152.9	1.17718e+08
153	1.17718e+08
153.1	1.17719e+08
153.2	1.17719e+08
153.3	1.1772e+08
153.4	1.1772e+08
153.5	1.17721e+08
153.6	1.17721e+08
153.7	1.17721e+08
153.8	1.17722e+08
153.9	1.17722e+08
154	1.17722e+08
154.1	1.17723e+08
154.2	1.17723e+08
154.3	1.17723e+08
154.4	1.17723e+08
154.5	1.17724e+08
154.6	1.17724e+08
154.7	1.17724e+08
154.8	1.17724e+08
154.9	1.17724e+08
155	1.17724e+08
155.1	1.17725e+08
155.2	1.17725e+08
155.3	1.17725e+08
155.4	1.17725e+08
155.5	1.17725e+08
155.6	1.17725e+08
155.7	1.17725e+08
155.8	1.17725e+08
155.9	1.17725e+08
156	1.17725e+08
156.1	1.17725e+08
156.2	1.17725e+08
156.3	1.17725e+08
156.4	1.17725e+08
156.5	1.17725e+08
156.6	1.17725e+08
156.7	1.17725e+08
156.8	1.17725e+08
156.9	-1.17725e+08
