Position(m)	Bending_Moment(Nm)
26.9	-1.56766e+07
27	-1.56999e+07
27.1	-1.5723e+07
27.2	-1.5746e+07
27.3	-1.57688e+07
27.4	-1.57914e+07
27.5	-1.58138e+07
27.6	-1.58361e+07
27.7	-1.58582e+07
27.8	-1.58801e+07
27.9	-1.59018e+07
28	-1.59234e+07
28.1	-1.59447e+07
28.2	-1.59659e+07
28.3	-1.59869e+07
28.4	-1.60077e+07
28.5	-1.60284e+07
28.6	-1.60488e+07
28.7	-1.60691e+07
28.8	-1.60891e+07
28.9	-1.6109e+07
29	-1.61287e+07
29.1	-1.61482e+07
29.2	-1.61675e+07
29.3	-1.61866e+07
29.4	-1.62055e+07
29.5	-1.62242e+07
29.6	-1.62427e+07
29.7	-1.6261e+07
29.8	-1.62791e+07
29.9	-1.6297e+07
30	-1.63147e+07
30.1	-1.63322e+07
30.2	-1.63495e+07
30.3	-1.63666e+07
30.4	-1.63835e+07
30.5	-1.64002e+07
30.6	-1.64167e+07
30.7	-1.64329e+07
30.8	-1.6449e+07
30.9	-1.64648e+07
31	-1.64804e+07
31.1	-1.64959e+07
31.2	-1.6511e+07
31.3	-1.6526e+07
31.4	-1.65408e+07
31.5	-1.65553e+07
31.6	-1.65696e+07
31.7	-1.65837e+07
31.8	-1.65976e+07
31.9	-1.66113e+07
32	-1.66247e+07
32.1	-1.66379e+07
32.2	-1.66509e+07
32.3	-1.66636e+07
32.4	-1.66761e+07
32.5	-1.66884e+07
32.6	-1.67005e+07
32.7	-1.67123e+07
32.8	-1.67239e+07
32.9	-1.67353e+07
33	-1.67464e+07
33.1	-1.67573e+07
33.2	-1.67679e+07
33.3	-1.67783e+07
33.4	-1.67885e+07
33.5	-1.67984e+07
33.6	-1.68081e+07
33.7	-1.68176e+07
33.8	-1.68268e+07
33.9	-1.68357e+07
34	-1.68444e+07
34.1	-1.68529e+07
34.2	-1.68611e+07
34.3	-1.68691e+07
34.4	-1.68768e+07
34.5	-1.68842e+07
34.6	-1.68914e+07
34.7	-1.68984e+07
34.8	-1.69051e+07
34.9	-1.69115e+07
35	-1.69177e+07
35.1	-1.69237e+07
35.2	-1.69293e+07
35.3	-1.69347e+07
35.4	-1.69399e+07
35.5	-1.69448e+07
35.6	-1.69494e+07
35.7	-1.69537e+07
35.8	-1.69578e+07
35.9	-1.69616e+07
36	-1.69652e+07
36.1	-1.69685e+07
36.2	-1.69715e+07
36.3	-1.69742e+07
36.4	-1.69767e+07
36.5	-1.69789e+07
36.6	-1.69808e+07
36.7	-1.69824e+07
36.8	-1.69838e+07
36.9	-1.69849e+07
37	-1.69857e+07
37.1	-1.69862e+07
37.2	-1.69865e+07
37.3	-1.69865e+07
37.4	-1.69861e+07
37.5	-1.69855e+07
37.6	-1.69846e+07
37.7	-1.69835e+07
37.8	-1.6982e+07
37.9	-1.69802e+07
38	-1.69782e+07
38.1	-1.69759e+07
38.2	-1.69732e+07
38.3	-1.69703e+07
38.4	-1.69671e+07
38.5	-1.69636e+07
38.6	-1.69598e+07
38.7	-1.69557e+07
38.8	-1.69513e+07
38.9	-1.69466e+07
39	-1.69416e+07
39.1	-1.69363e+07
39.2	-1.69306e+07
39.3	-1.69247e+07
39.4	-1.69185e+07
39.5	-1.6912e+07
39.6	-1.69051e+07
39.7	-1.6898e+07
39.8	-1.68905e+07
39.9	-1.68828e+07
40	-1.68747e+07
40.1	-1.68663e+07
40.2	-1.68576e+07
40.3	-1.68486e+07
40.4	-1.68392e+07
40.5	-1.68296e+07
40.6	-1.68196e+07
40.7	-1.68093e+07
40.8	-1.67987e+07
40.9	-1.67878e+07
41	-1.67765e+07
41.1	-1.67649e+07
41.2	-1.6753e+07
41.3	-1.67408e+07
41.4	-1.67282e+07
41.5	-1.67153e+07
41.6	-1.67021e+07
41.7	-1.66886e+07
41.8	-1.66747e+07
41.9	-1.66605e+07
42	-1.66459e+07
42.1	-1.6631e+07
